Name,National Side,BattingAVG,Wickets,BowlingAVG
Mitchell Marsh,Australia,17.3,20,21
Anrich Nortje,South Africa,7,34,20.55
David Warner,Australia,41.59,0,
Khaleel Ahmed,India,0.33,32,24.56
Chetan Sakariya,India,3.2,14,30.42
Rovman Powell,West Indies,,,
Kuldeep Yadav,India,9.5,40,30.9
Srikar Bharat,India,38.2,,
Mustafizur Rahman,Bangladesh,9,38,29.5
Kamlesh Nagarkoti,India,5.5,5,51.2
Mandeep Singh,India,22.02,0,
Lalit Yadav,India,34,4,25.25
Yash Dhull,India,,,
Lungi Ngidi,South Africa,,25,17.92
Tim Seifert,New Zealand,2,,
Pravin Dubey,India,,0,
Ashwin Hebbar,India,,,
Ripal Patel,India,25,0,
Vicky Ostwal,India,,,
Sarfaraz Khan,India,23.21,0,
KL Rahul,India,47.43,,
Avesh Khan,India,9,29,25.82
Marcus Stoinis,Australia,27.69,30,32.3
Jason Holder,West Indies,14.53,35,22.45
Krunal Pandya,India,22.86,51,34.76
Mark Wood,England,1,0,
Quinton de Kock,South Africa,31.33,,
Deepak Hooda,India,16.7,9,50.88
Manish Pandey,India,30.68,,
Ravi Bishnoi,India,4,24,25.25
Evin Lewis,,,,
Dushmantha Chameera,Sri Lanka,,,
Krishnappa Gowtham,India,14.3,13,43.23
Kyle Mayers,West Indies,,,
Shahbaz Nadeem,India,2.78,48,37.16
Ankit Rajpoot,India,5.2,24,33.91
Mohsin Khan,India,,,
Ayush Badoni,India,,,
Karan Sharma,India,,,
Mayank Yadav,India,,,
Manan Vohra,India,22.42,,
Rashid Khan,Afghanistan,9.25,93,20.55
Hardik Pandya,India,27.33,42,31.26
Lockie Ferguson,New Zealand,,24,27
Rahul Tewatia,,,,
Shubman Gill,India,31.48,,
Mohammed Shami,India,6.27,79,30.4
Yash Dayal,India,,,
Ravisrinivasan Sai Kishore,India,,,
David Miller,South Africa,32.9,,
Abhinav Manohar,India,,,
Alzarri Joseph,West Indies,,6,14.5
Matthew Wade,Australia,7.33,,
Jason Roy,England,29.9,,
Wriddhiman Saha,India,24.53,,
Jayant Yadav,India,10,8,52.37
Vijay Shankar,India,26.37,9,36.55
Dominic Drakes,West Indies,,,
Varun Aaron,India,10,42,34.02
Gurkeerat Singh Mann,India,21.29,5,19.4
Noor Ahmad,Afghanistan,,,
Darshan Nalkande,India,,,
Sai Sudharsan,India,,,
Pradeep Sangwan,India,3.42,35,33.57
